#T	V1	V3	V2	V4	I(V0)	I(V1DUMMY)	I(V2DUMMY)
4.808138656871561167e-01	-1.000000000000000000e+01	-9.020419012058820130e+00	-9.020419012058820130e+00	-9.020419012058820130e+00	-3.265270060803831175e-04	2.224169298783706668e-04	1.041100570815987837e-04
4.908138656871561256e-01	-1.000000000000000000e+01	-9.066625658594169579e+00	-9.066625658594169579e+00	-9.066625658594169579e+00	-3.111247903686204029e-04	2.119255656409687032e-04	9.919920576101159222e-05
5.008138656871561345e-01	-1.000000000000000000e+01	-9.110652746311529881e+00	-9.110652746311529881e+00	-9.110652746311529881e+00	-2.964490946628135651e-04	2.019290770795007114e-04	9.451999837266628470e-05
5.108138656871561434e-01	-1.000000000000000000e+01	-9.152603084590010596e+00	-9.152603084590010596e+00	-9.152603084590010596e+00	-2.824656483700067997e-04	1.924041210014804787e-04	9.006150831590891347e-05
5.208138656871561523e-01	-1.000000000000000000e+01	-9.192574633309662957e+00	-9.192574633309662957e+00	-9.192574633309662957e+00	-2.691417989967688973e-04	1.833284553084476188e-04	8.581332439575266432e-05
5.308138656871561611e-01	-1.000000000000000000e+01	-9.230660731601441071e+00	-9.230660731601441071e+00	-9.230660731601441071e+00	-2.564464326995293279e-04	1.746808870575252814e-04	8.176552651132996442e-05
5.408138656871561700e-01	-1.000000000000000000e+01	-9.266950315807067184e+00	-9.266950315807067184e+00	-9.266950315807067184e+00	-2.443499048309679517e-04	1.664412229729732024e-04	7.790866249105057081e-05
5.508138656871561789e-01	-1.000000000000000000e+01	-9.301528127157762782e+00	-9.301528127157762782e+00	-9.301528127157762782e+00	-2.328239675140888413e-04	1.585902222920503653e-04	7.423372602049741625e-05
5.608138656871561878e-01	-1.000000000000000000e+01	-9.334474909656826469e+00	-9.334474909656826469e+00	-9.334474909656826469e+00	-2.218417068810477478e-04	1.511095518351751501e-04	7.073213561140486360e-05
5.708138656871561967e-01	-1.000000000000000000e+01	-9.365867598628128121e+00	-9.365867598628128121e+00	-9.365867598628128121e+00	-2.113774770239674518e-04	1.439817431954034418e-04	6.739571456268341170e-05
5.808138656871562056e-01	-1.000000000000000000e+01	-9.395779500370791126e+00	-9.395779500370791126e+00	-9.395779500370791126e+00	-2.014068433097268487e-04	1.371901519472694430e-04	6.421667186668505892e-05
5.908138656871562144e-01	-1.000000000000000000e+01	-9.424280463339606229e+00	-9.424280463339606229e+00	-9.424280463339606229e+00	-1.919065221201411372e-04	1.307189187796701743e-04	6.118758401617765811e-05
6.008138656871562233e-01	-1.000000000000000000e+01	-9.451437041250910553e+00	-9.451437041250910553e+00	-9.451437041250910553e+00	-1.828543296830195805e-04	1.245529324622955789e-04	5.830137766929471230e-05
6.108138656871562322e-01	-1.000000000000000000e+01	-9.477312648494764957e+00	-9.477312648494764957e+00	-9.477312648494764957e+00	-1.742291270684215418e-04	1.186777945586694989e-04	5.555131313242700811e-05
